Model and Mult,FinanceBench,amg,hpcg,linux_kernel,miniFE,nqueens,numenta_nab,numpy,nwchem,openfoam,openradioss,pybench,specfem3d,stockfish,tensorflow
AMD Ryzen 5 1600X Six-Core x 1,,,,,,-3.044522437723423,,,,,,,,,
AMD Ryzen 5 2400G with Radeon Vega x 1,,,,,,-3.4339872044851463,,,,,,,,,
AMD Ryzen 5 2400G x 1,,19.13151925596368,,,,-3.4339872044851463,,5.60947179518496,,,,,,,
AMD Ryzen 5 2600 Six-Core x 1,,,,,,-3.0910424533583156,,5.666426688112432,,,,-7.122059881629142,,,
AMD Ryzen 5 2600X Six-Core x 1,,,,,,-2.995732273553991,,,,,,-7.01571242048723,,,
AMD Ryzen 5 3400G x 1,-11.89975806093039,19.151805663570176,,,,-3.367295829986474,,5.655991810819852,-9.884610496766438,,,,,,-8.841737428600585
AMD Ryzen 5 3500U x 1,,,,,,,,,,,,-7.220373836723949,,,
AMD Ryzen 5 3500X x 1,,,,,,,,,,,,-6.892641641172089,,,
AMD Ryzen 5 3600 x 1,,,,,,-2.995732273553991,,6.003887067106539,,,,-6.917705609835305,,,
AMD Ryzen 5 3600X x 1,,,,,8.339739766019143,-2.890371757896165,-3.6109179126442243,6.003887067106539,,,,-6.883462586413092,,,
AMD Ryzen 5 3600XT x 1,-11.081234444367965,19.211929092247473,,,,,,,,,,,,,
AMD Ryzen 5 4500U x 1,-11.299620852166676,19.047801780078355,1.3862943611198906,-7.957177323459475,,-3.58351893845611,-4.204692619390966,5.598421958998375,,,,,,,-8.849944227235596
AMD Ryzen 5 5500 x 1,,,,,,-2.995732273553991,,6.129050210060545,,-8.469052816088302,,-6.682108597449809,-5.442417710521793,16.056784343427207,
AMD Ryzen 5 5500U x 1,,,1.6094379124341003,-7.799753318287247,,,-4.127134385045092,5.676753802268282,,,,,-5.713732805509369,15.608324970543865,-8.420902531097951
AMD Ryzen 5 5560U x 1,,,,-7.692113339595466,,,,,,,,,,,
