Model and Mult,FinanceBench,amg,hpcg,linux_kernel,miniFE,nqueens,numenta_nab,numpy,nwchem,openfoam,openradioss,pybench,specfem3d,stockfish,tensorflow
Intel Xeon Platinum 8468 x 1,,0.002995205675870632,,,0.003489210889765036,,,0.0034990925405431867,,0.00499870362934741,,,,,
Intel Xeon Platinum 8468 x 2,,0.00046268001559367954,,,0.03052470896631321,,,,,0.00539579690831426,,,0.5,,
Intel Xeon Platinum 8471N x 1,,0.0032937307784405424,,,,,,,,0.005387931034482759,,,,,
Intel Xeon Platinum 8480+ x 1,,,,,,,,,,,,0.029621579023422093,,,
Intel Xeon Platinum 8490H x 1,,0.0009646385599673317,,0.02146625258399798,0.0009711941043686877,,0.02631578947368421,0.0014556040756914118,,0.001899961435396382,,0.002470356032740047,0.35355339059327373,0.01315227012590713,
Intel Xeon Platinum 8490H x 2,,0.002585015640811025,0.005291005291005291,0.01800860116107213,0.01773947494151905,,0.03333333333333333,0.01741211378285473,,0.002011447539878811,,0.012488050876660078,0.5773502691896257,0.006327457144500025,
Intel Xeon Platinum x 2,,,,,,,,,,0.034542323797669916,,,,,
Intel Xeon Silver 4108 x 1,,,,,0.00026410310585252484,0.4472135954999579,,,,,,0.004545954124512397,,,
Intel Xeon Silver 4210 x 2,,,,,,0.30151134457776363,,,,,,,,,
Intel Xeon Silver 4214 x 2,,,,,,,,,,,,0.05079122001020929,,,
